lang_ID,language,expression,force,flavor,can_express,notes
doma1258,Donmari,saka-,strong,ability,1,translates to 'be able to'
doma1258,Donmari,bidd-,weak,bouletic,1,"translates to 'want'(p286), put it as bouletic but not sure if it's also intentional, and can also express likelihood of anticipated future event"
doma1258,Donmari,bidd-,weak,intentional,?,NA
doma1258,Donmari,xallī,weak,deontic,1,"translates to 'allow', categorized as permissive"
doma1258,Donmari,lāzem,strong,deontic,1,"a impersonal particle(p287), not sure if it can also be epistemic"
gitx1241,Gitksan,ima(’a),weak,epistemic,1,NA
gitx1241,Gitksan,ima(’a),weak,reportative,0,NA
gitx1241,Gitksan,ima(’a),weak,deontic,0,NA
gitx1241,Gitksan,ima(’a),weak,circumstantial,0,NA
gitx1241,Gitksan,ima(’a),strong,epistemic,1,NA
gitx1241,Gitksan,ima(’a),strong,reportative,0,NA
gitx1241,Gitksan,ima(’a),strong,deontic,0,NA
gitx1241,Gitksan,ima(’a),strong,circumstantial,0,NA
gitx1241,Gitksan,gat,weak,epistemic,1,NA
gitx1241,Gitksan,gat,weak,reportative,1,NA
gitx1241,Gitksan,gat,weak,deontic,0,NA
gitx1241,Gitksan,gat,weak,circumstantial,0,NA
gitx1241,Gitksan,gat,strong,epistemic,1,NA
gitx1241,Gitksan,gat,strong,reportative,1,NA
gitx1241,Gitksan,gat,strong,deontic,0,NA
gitx1241,Gitksan,gat,strong,circumstantial,0,NA
gitx1241,Gitksan,da’akhlxw,weak,epistemic,0,NA
gitx1241,Gitksan,da’akhlxw,weak,reportative,0,NA
gitx1241,Gitksan,da’akhlxw,weak,deontic,0,NA
gitx1241,Gitksan,da’akhlxw,weak,circumstantial,1,NA
gitx1241,Gitksan,da’akhlxw,strong,epistemic,0,NA
gitx1241,Gitksan,da’akhlxw,strong,reportative,0,NA
gitx1241,Gitksan,da’akhlxw,strong,deontic,0,NA
gitx1241,Gitksan,da’akhlxw,strong,circumstantial,0,NA
gitx1241,Gitksan,anook(xw),weak,epistemic,0,NA
gitx1241,Gitksan,anook(xw),weak,reportative,0,NA
gitx1241,Gitksan,anook(xw),weak,deontic,1,NA
gitx1241,Gitksan,anook(xw),weak,circumstantial,0,NA
gitx1241,Gitksan,anook(xw),strong,epistemic,0,NA
gitx1241,Gitksan,anook(xw),strong,reportative,0,NA
gitx1241,Gitksan,anook(xw),strong,deontic,0,NA
gitx1241,Gitksan,anook(xw),strong,circumstantial,0,NA
gitx1241,Gitksan,sgi,weak,epistemic,0,NA
gitx1241,Gitksan,sgi,weak,reportative,0,NA
gitx1241,Gitksan,sgi,weak,deontic,0,NA
gitx1241,Gitksan,sgi,weak,circumstantial,0,NA
gitx1241,Gitksan,sgi,strong,epistemic,0,NA
gitx1241,Gitksan,sgi,strong,reportative,0,NA
gitx1241,Gitksan,sgi,strong,deontic,1,NA
gitx1241,Gitksan,sgi,strong,circumstantial,1,NA
goem1240,Goemai,t'óng,weak,irrealis,1,"p358 describes t'óng as irrealis, under the context of epstemic modality, intention, polite rquest and conterfactual contexts, it would become near-obligatory if in future context(359). The author recognize t'óng as a modality that occurs in non-future irrealis contexts."
goem1240,Goemai,t'óng,weak,future,1,It can occur in future context but does not fulfill the future tense marker criterion (360)
goem1240,Goemai,gòe,strong,deontic,1,categorized as 'obligative' and translates to 'should' or 'was obliged to' (362)
goem1240,Goemai,ǹ-,weak,deontic,1,"categorized as 'permissive' (364), translates as allowing,enabling"
goem1240,Goemai,bòe,weak,irrealis,1,"categorized as 'irrealis(focused)' (365), but the semantics difference between bòe and irrealis t'óng is not clear"
goem1240,Goemai,mán,weak,irrealis,1,"categorized as 'irrealis(negative)',occurs in a negated irrealis context and delivers prohibitive manner(366)"
hinu1240,Hinuq,k'ʷ ezi -iqi,weak,ability,1,translates to 'can' and require most prominant argument marked with At-Essive case(which also shows up in potential construction)
hinu1240,Hinuq,ko ň ’e-/ko ň ’er,weak,ability,1,"translates to can,know how (601)"
hinu1240,Hinuq,-eq’i,weak,ability,1,"translates to can,know how to (601)"
hinu1240,Hinuq,-ese-/-es-,weak,epistemic,1,"when attached by realis conditional suffix -yo, will only have realis conditional meaning. It can also marked with intentional future suffix =e (297)."
hinu1240,Hinuq,-aru-/-ru,strong,intentional,1,"""describes actions and events that are intended or planned by their agents""(298)"
hupd1244,Hup,=tih,weak,irrealis,1,748 describes the form as having similar distribution as -tæ̃ʔ-
hupd1244,Hup,-yæ̃́ʔ-,weak,intentional,1,"categorized 'frustrative'(749), the expression signals that an intended or anticipated outcome is not realized(742)"
hupd1244,Hup,-nɔ́-cud-yæ̃́h-æ̃́h,strong,irrealis,1,754 describes the expression as 'should have'
